sex,age,race,juv-fel-count,decile-score,juv-misd-count,juv-other-count,priors-count,days-b-screening-arrest,c-days-from-compas,c-charge-degree,is-recid,r-charge-degree,is-violent-recid,v-decile-score,c-jail-time,r-jail-time
Male,25,Non-White,0,3,0,0,0,-1.0,1.0,2,1,3,High,4,1.0,3.0
Female,21,White,0,7,0,0,0,-1.0,1.0,3,0,1,Low,5,2.0,0.0
Male,27,Non-White,0,2,0,0,0,-1.0,1.0,2,0,1,Low,3,1.0,0.0
Male,48,White,0,-1,0,0,3,-1.0,1.0,3,1,3,Low,3,2.0,38.0
Male,20,Non-White,0,2,0,0,0,-1.0,1.0,2,1,2,Low,5,1.0,1.0
Male,32,Non-White,0,1,0,0,1,-27.0,27.0,3,0,1,Low,1,1.0,0.0
Female,24,White,0,5,0,1,0,0.0,0.0,3,0,1,Low,5,1.0,0.0
Male,22,Non-White,0,7,0,0,1,-1.0,1.0,3,0,1,Low,6,78.0,0.0
Female,24,White,0,2,0,0,0,-1.0,1.0,2,0,1,Low,3,1.0,0.0
Male,20,Non-White,1,3,0,0,1,-1.0,1.0,3,0,1,Low,6,1.0,0.0
Male,26,Non-White,0,4,0,0,1,-56.0,56.0,3,0,1,Low,4,55.0,0.0
Female,48,Non-White,0,1,0,0,0,0.0,1.0,2,0,1,Low,1,1.0,0.0
Male,26,Non-White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,2,1.0,0.0
Male,31,Non-White,0,8,0,0,3,-20.0,20.0,2,1,2,Low,3,19.0,1.0
Male,27,Non-White,0,7,0,0,3,-1.0,1.0,2,1,3,High,8,6.0,1.0
Male,59,Non-White,0,5,0,0,17,-65.0,65.0,3,1,2,Low,2,58.0,28.0
Male,40,Non-White,0,2,0,0,0,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,22,Non-White,0,10,0,0,11,0.0,1.0,3,1,3,High,8,1.0,34.0
Female,38,Non-White,0,1,0,0,1,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,36,Non-White,0,10,0,0,1,-8.0,101.0,2,1,3,Low,9,39.0,59.0
Male,50,Non-White,0,1,0,0,4,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,30,Non-White,0,7,0,0,1,0.0,0.0,2,0,1,Low,4,1.0,0.0
Male,27,White,0,6,0,0,6,-1.0,1.0,3,1,3,High,4,34.0,0.0
Female,59,White,0,1,0,0,0,0.0,1.0,2,0,1,Low,1,1.0,0.0
Male,37,White,0,1,0,0,2,-2.0,2.0,2,0,1,Low,1,1.0,0.0
Male,28,Non-White,0,7,0,0,5,0.0,0.0,2,1,2,Low,7,1.0,0.0
Male,38,White,0,1,0,0,0,0.0,0.0,3,0,1,Low,1,1.0,0.0
Female,33,White,0,1,0,0,0,0.0,1.0,2,0,1,Low,1,-1.0,0.0
Male,24,White,0,4,0,1,2,-1.0,1.0,3,0,1,Low,5,1.0,0.0
Male,22,Non-White,0,8,0,1,0,-1.0,1.0,3,1,2,Low,6,1.0,7.0
Male,60,Non-White,0,4,0,0,0,-7.0,7.0,3,0,1,Low,1,4.0,0.0
Male,43,Non-White,0,1,0,0,1,-44.0,44.0,2,0,1,Low,1,41.0,0.0
Male,28,White,0,9,0,0,1,-1.0,1.0,3,0,1,Low,3,9.0,0.0
Male,25,Non-White,0,5,0,0,4,-1.0,1.0,3,1,2,High,4,31.0,91.0
Male,51,White,0,1,0,0,0,0.0,1.0,2,0,1,Low,1,1.0,0.0
Male,33,White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Female,58,White,0,1,0,0,0,0.0,1.0,2,0,1,Low,1,1.0,0.0
Male,63,Non-White,0,1,0,0,2,-1.0,1.0,2,0,1,Low,1,12.0,0.0
Female,28,White,0,4,0,0,0,-1.0,1.0,2,0,1,Low,5,1.0,0.0
Female,28,White,0,3,0,0,0,-1.0,2.0,2,0,1,Low,3,9.0,0.0
Male,29,White,0,2,0,0,2,29.0,57.0,2,1,2,Low,2,25.0,16.0
Male,28,Non-White,0,3,0,0,10,0.0,0.0,3,0,1,Low,2,1.0,0.0
Male,55,Non-White,0,3,0,0,9,0.0,0.0,2,1,3,Low,1,3.0,8.0
Female,23,White,0,10,0,0,3,-1.0,1.0,3,0,1,Low,9,5.0,0.0
Female,22,Non-White,0,5,0,0,0,-1.0,1.0,2,0,1,Low,6,7.0,0.0
Female,19,White,0,10,0,0,2,-2.0,2.0,3,1,3,Low,7,22.0,48.0
Male,23,Non-White,0,10,0,0,4,0.0,0.0,3,0,1,Low,8,2.0,0.0
Male,31,Non-White,0,1,0,0,1,-27.0,28.0,2,0,1,Low,1,-1.0,0.0
Male,29,Non-White,0,1,0,0,0,0.0,0.0,2,0,1,Low,1,1.0,0.0
Male,21,Non-White,0,6,0,0,1,-1.0,45.0,2,0,1,Low,6,180.0,0.0
Male,61,Non-White,0,6,0,0,15,-1.0,1.0,3,1,3,Low,3,1.0,1.0
Male,24,Non-White,0,10,0,0,4,-175.0,175.0,3,1,2,High,9,1.0,3.0
Male,26,Non-White,0,2,0,0,0,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Male,31,Non-White,0,2,0,0,0,0.0,0.0,2,0,1,Low,2,1.0,0.0
Male,20,Non-White,0,9,1,1,4,-1.0,1.0,3,1,3,Low,6,2.0,109.0
Male,26,White,0,7,0,0,3,-1.0,1.0,3,1,2,Low,4,1.0,0.0
Female,22,Non-White,0,3,0,0,0,0.0,0.0,2,0,1,Low,3,1.0,0.0
Male,27,White,0,9,0,0,5,0.0,0.0,2,0,1,Low,7,1.0,0.0
Male,25,White,0,5,0,0,1,-1.0,1.0,3,0,1,Low,3,1.0,0.0
Male,23,White,0,5,2,0,3,-1.0,0.0,3,1,3,Low,5,9.0,105.0
Male,38,Non-White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,51,White,0,4,0,0,1,0.0,1.0,3,0,1,Low,1,-1.0,0.0
Male,27,Non-White,0,9,2,1,18,0.0,1.0,3,1,2,Low,6,1.0,0.0
Female,35,White,0,3,0,0,0,0.0,0.0,3,1,2,Low,2,-1.0,1.0
Male,22,Non-White,0,9,0,0,0,-1.0,1.0,3,0,1,Low,7,16.0,0.0
Male,38,Non-White,0,6,0,0,11,-1.0,1.0,3,0,1,Low,1,2.0,0.0
Female,58,Non-White,0,2,0,0,4,-14.0,14.0,3,1,2,High,1,1.0,0.0
Male,44,Non-White,0,1,0,0,6,-56.0,56.0,3,0,1,Low,3,50.0,0.0
Female,57,White,0,4,0,0,0,-1.0,2.0,2,1,2,Low,1,1.0,0.0
Male,36,Non-White,0,2,0,0,6,-4.0,4.0,3,0,1,Low,3,4.0,0.0
Male,21,Non-White,0,3,0,1,0,-1.0,1.0,3,0,1,Low,5,1.0,0.0
Male,20,Non-White,0,5,0,0,1,-1.0,1.0,3,0,1,Low,8,8.0,0.0
Female,22,Non-White,0,8,0,0,0,-1.0,1.0,3,0,1,Low,6,1.0,0.0
Male,30,Non-White,0,2,0,0,0,-1.0,1.0,3,0,1,Low,2,2.0,0.0
Male,24,White,0,10,0,0,1,-38.0,6.0,3,1,2,Low,9,37.0,2.0
Male,56,White,0,1,0,0,1,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,32,Non-White,0,3,0,0,1,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,22,White,0,4,0,0,2,-40.0,41.0,3,1,2,High,6,27.0,80.0
Male,31,Non-White,0,2,0,0,1,-50.0,50.0,3,0,1,Low,2,43.0,0.0
Male,29,White,0,4,0,0,3,-61.0,61.0,3,1,2,Low,2,38.0,0.0
Male,30,Non-White,0,8,0,0,8,-1.0,1.0,3,1,3,Low,3,1.0,125.0
Female,31,Non-White,0,6,0,0,10,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Male,53,Non-White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,1,64.0,0.0
Female,45,White,0,6,0,0,1,0.0,0.0,3,0,1,Low,4,1.0,0.0
Male,23,Non-White,0,7,0,0,4,320.0,330.0,3,0,1,Low,9,89.0,0.0
Female,36,Non-White,0,6,1,0,2,-2.0,2.0,3,0,1,Low,3,1.0,0.0
Male,39,White,0,2,0,0,2,-13.0,13.0,3,1,2,Low,1,4.0,32.0
Male,23,Non-White,0,2,0,0,0,-1.0,1.0,3,0,1,Low,3,1.0,0.0
Male,31,Non-White,0,8,0,0,0,-1.0,1.0,3,1,3,Low,8,1.0,3.0
Male,22,Non-White,0,4,0,0,1,-1.0,1.0,3,1,3,Low,6,1.0,10.0
Female,27,Non-White,0,2,0,0,9,-68.0,68.0,3,1,2,Low,2,65.0,48.0
Male,27,Non-White,0,7,0,0,13,-1.0,1.0,3,1,3,High,3,2.0,173.0
Male,38,White,0,1,0,0,1,-1.0,1.0,3,1,2,High,1,1.0,2.0
Male,31,Non-White,0,10,0,0,23,0.0,0.0,3,1,3,Low,10,55.0,34.0
Male,47,Non-White,0,9,0,0,20,-1.0,1.0,3,0,1,Low,5,1.0,0.0
Male,22,Non-White,0,7,1,0,3,-1.0,1.0,3,0,1,Low,7,1.0,0.0
Male,35,Non-White,0,9,0,1,1,-1.0,1159.0,2,1,3,High,3,79.0,0.0
Male,23,Non-White,0,6,0,0,2,-19.0,19.0,2,1,2,Low,4,19.0,42.0
Male,65,Non-White,0,2,0,0,2,-18.0,18.0,2,1,3,High,1,5.0,1.0
Male,35,Non-White,0,4,0,0,0,-1.0,1.0,2,0,1,Low,3,1.0,0.0
Female,33,Non-White,0,3,0,0,0,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Male,53,White,0,1,0,0,1,-10.0,10.0,2,0,1,Low,1,1.0,0.0
Male,52,Non-White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,48,White,0,5,0,0,1,-1.0,1.0,3,0,1,Low,1,34.0,0.0
Male,62,Non-White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,1,11.0,0.0
Male,44,Non-White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,21,Non-White,0,5,0,0,0,-1.0,1.0,3,0,1,Low,7,1.0,0.0
Male,37,Non-White,0,4,0,0,11,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Male,30,Non-White,0,9,0,0,4,-1.0,1.0,2,1,3,High,8,1.0,7.0
Male,33,White,0,5,0,0,5,-32.0,32.0,3,0,1,Low,2,21.0,0.0
Female,36,Non-White,0,4,0,0,3,-115.0,78.0,3,0,1,Low,3,110.0,0.0
Male,54,Non-White,0,1,0,0,0,0.0,1.0,3,0,1,Low,1,-1.0,0.0
Male,28,Non-White,0,5,0,0,0,-1.0,1.0,2,0,1,Low,2,1.0,0.0
Female,31,Non-White,0,1,0,0,0,0.0,1.0,2,0,1,Low,1,-1.0,0.0
Female,59,White,0,3,0,0,2,26.0,400.0,3,0,1,Low,1,29.0,0.0
Male,27,Non-White,0,2,0,0,0,-1.0,1.0,2,0,1,Low,2,1.0,0.0
Male,36,Non-White,0,7,0,0,0,-1.0,1.0,2,1,2,High,2,1.0,0.0
Male,46,Non-White,0,9,0,0,17,-1.0,1.0,3,1,3,Low,6,6.0,6.0
Male,22,Non-White,0,9,0,1,3,0.0,0.0,3,0,1,Low,8,323.0,0.0
Male,27,White,0,5,0,0,0,0.0,0.0,3,0,1,Low,3,1.0,0.0
Male,30,White,0,3,0,0,0,-2.0,2.0,2,0,1,Low,1,1.0,0.0
Female,28,White,0,2,0,0,0,-1.0,1.0,2,0,1,Low,2,1.0,0.0
Female,34,White,0,9,0,1,15,-4.0,5.0,3,1,3,Low,3,3.0,101.0
Male,29,Non-White,0,9,0,0,7,-2.0,2.0,3,1,3,Low,4,1.0,1.0
Female,46,Non-White,0,3,0,0,2,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,23,Non-White,0,10,0,1,2,0.0,0.0,2,1,2,High,9,80.0,22.0
Male,65,White,0,1,0,0,2,-4.0,5.0,2,0,1,Low,1,3.0,0.0
Male,27,Non-White,0,4,0,0,3,-1.0,1.0,3,0,1,Low,3,1.0,0.0
Male,21,Non-White,0,6,0,1,0,-1.0,1.0,3,1,3,High,6,1.0,39.0
Male,48,White,0,1,0,0,3,-3.0,4.0,3,1,2,Low,1,1.0,39.0
Male,30,Non-White,0,9,0,0,15,210.0,248.0,3,1,3,Low,4,20.0,20.0
Male,36,Non-White,0,1,0,0,3,-1.0,0.0,3,0,1,Low,1,49.0,0.0
Female,32,Non-White,0,2,0,0,2,-43.0,44.0,3,0,1,Low,1,-1.0,0.0
Male,31,Non-White,0,7,0,0,5,-1.0,1.0,3,0,1,Low,4,6.0,0.0
Male,36,Non-White,0,5,1,0,4,-1.0,1.0,2,0,1,Low,2,2.0,0.0
Male,20,Non-White,0,8,0,0,0,-1.0,1.0,3,0,1,Low,9,89.0,0.0
Male,37,White,0,2,0,0,3,0.0,0.0,3,0,1,Low,1,26.0,0.0
Male,44,Non-White,0,8,0,0,14,-1.0,1.0,3,1,2,Low,5,1.0,0.0
Male,53,White,0,1,0,0,2,-2.0,2.0,3,0,1,Low,1,1.0,0.0
Male,32,Non-White,0,2,0,0,2,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,33,Non-White,0,2,0,0,3,-1.0,1.0,2,1,2,Low,1,1.0,1.0
Female,27,Non-White,0,4,0,0,1,-1.0,1.0,3,0,1,Low,4,2.0,0.0
Female,48,Non-White,0,5,0,0,4,-1.0,1.0,3,0,1,Low,4,1.0,0.0
Male,21,Non-White,1,10,0,0,2,-306.0,273.0,3,0,1,Low,9,293.0,0.0
Male,33,Non-White,0,8,0,0,4,236.0,557.0,3,1,3,High,6,339.0,0.0
Male,47,White,0,5,0,0,2,0.0,0.0,3,1,2,Low,1,2.0,1.0
Male,57,Non-White,0,7,0,0,20,0.0,0.0,3,1,2,Low,2,33.0,21.0
Male,28,Non-White,0,4,0,0,2,-1.0,1.0,2,0,1,Low,2,6.0,0.0
Male,24,Non-White,0,6,0,0,1,-1.0,1.0,2,0,1,Low,4,1.0,0.0
Male,44,Non-White,0,1,0,0,1,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,46,Non-White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,37,Non-White,0,3,0,0,6,0.0,0.0,3,0,1,Low,5,1.0,0.0
Male,26,Non-White,0,6,0,0,10,-6.0,6.0,2,1,3,Low,4,5.0,1.0
Male,51,White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,27,Non-White,0,8,1,0,10,0.0,0.0,3,1,3,High,7,1.0,2.0
Male,40,White,0,2,0,0,1,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Female,60,White,0,3,0,0,9,0.0,0.0,3,1,3,Low,1,384.0,0.0
Male,53,White,0,1,0,0,1,-6.0,7.0,3,0,1,Low,1,6.0,0.0
Male,26,Non-White,0,6,1,0,8,-52.0,52.0,3,0,1,Low,6,40.0,0.0
Female,37,White,0,1,0,0,1,-9.0,9.0,3,0,1,Low,1,8.0,0.0
Male,28,Non-White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,3,1.0,0.0
Male,23,Non-White,0,4,0,0,0,0.0,0.0,2,0,1,Low,5,1.0,0.0
Male,21,Non-White,0,8,0,0,1,-1.0,1.0,3,0,1,Low,8,137.0,0.0
Male,41,Non-White,0,6,0,0,2,-1.0,1.0,3,0,1,Low,2,212.0,0.0
Female,46,White,0,8,0,0,2,-1.0,1.0,3,0,1,Low,1,19.0,0.0
Male,23,Non-White,0,5,0,0,0,-1.0,1.0,3,1,2,Low,4,1.0,3.0
Male,61,Non-White,0,1,0,0,2,-2.0,2.0,3,0,1,Low,1,1.0,0.0
Male,30,White,0,2,0,0,3,653.0,105.0,3,0,1,Low,1,11.0,0.0
Male,50,Non-White,0,8,0,0,18,-1.0,1.0,3,1,2,Low,6,248.0,1.0
Female,49,Non-White,0,9,0,0,0,0.0,1.0,3,0,1,Low,3,1.0,0.0
Male,45,Non-White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,40,Non-White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,22,Non-White,0,5,0,0,1,-1.0,1.0,3,0,1,Low,7,1.0,0.0
Male,26,White,0,2,0,0,1,0.0,0.0,3,1,2,High,3,16.0,19.0
Male,62,White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,1,2.0,0.0
Male,34,White,0,1,0,0,0,0.0,0.0,2,1,2,Low,1,-1.0,33.0
Female,37,White,0,3,0,0,0,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,23,Non-White,0,8,0,0,1,-1.0,1.0,3,0,1,Low,8,1.0,0.0
Male,24,Non-White,0,10,0,0,1,-6.0,6.0,3,0,1,Low,5,6.0,0.0
Male,21,White,0,2,0,0,0,-1.0,1.0,2,0,1,Low,5,1.0,0.0
Male,25,White,0,2,0,0,0,-1.0,1.0,3,1,3,High,3,1.0,1.0
Male,30,Non-White,0,9,0,0,3,-1.0,1.0,3,0,1,Low,4,77.0,0.0
Male,68,White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,1,3.0,0.0
Male,41,White,0,2,0,0,2,-47.0,47.0,2,0,1,Low,2,1.0,0.0
Male,39,Non-White,0,1,0,0,1,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,21,White,0,3,0,0,1,-1.0,1.0,3,0,1,Low,6,1.0,0.0
Male,31,Non-White,0,10,0,0,1,-1.0,1.0,3,0,1,Low,8,2.0,0.0
Female,37,Non-White,0,3,0,0,1,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,29,Non-White,0,7,0,0,7,-1.0,1.0,3,0,1,Low,4,1.0,0.0
Male,22,Non-White,0,8,0,0,0,0.0,0.0,3,0,1,Low,5,1.0,0.0
Male,22,Non-White,0,3,0,0,1,-54.0,55.0,3,0,1,Low,5,1.0,0.0
Male,38,White,0,4,0,0,11,-268.0,268.0,3,1,2,Low,2,268.0,4.0
Male,42,White,0,1,0,0,1,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,22,White,0,4,1,1,1,-1.0,1.0,3,1,2,Low,6,1.0,15.0
Female,30,Non-White,0,6,0,0,0,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Male,45,Non-White,0,4,0,0,0,-1.0,1.0,3,1,2,Low,2,2.0,27.0
Female,36,Non-White,0,10,0,0,4,-1.0,1.0,3,1,3,Low,6,1.0,150.0
Male,48,Non-White,0,6,0,0,2,0.0,0.0,3,0,1,Low,1,1.0,0.0
Female,53,Non-White,0,1,0,0,0,-2.0,3.0,3,0,1,Low,1,1.0,0.0
Male,37,Non-White,0,4,0,0,7,-1.0,1.0,3,0,1,Low,3,23.0,0.0
Male,49,Non-White,0,1,0,0,0,-4.0,4.0,3,0,1,Low,1,1.0,0.0
Female,45,White,0,1,0,0,1,-106.0,106.0,3,0,1,Low,1,8.0,0.0
Male,23,Non-White,0,9,0,1,6,-1.0,1.0,3,1,2,High,8,8.0,0.0
Male,24,Non-White,0,8,0,0,0,0.0,1.0,3,0,1,Low,7,1.0,0.0
Male,29,Non-White,0,2,0,0,0,-1.0,1.0,3,0,1,Low,3,1.0,0.0
Male,24,Non-White,0,3,0,0,0,-3.0,3.0,3,0,1,Low,4,1.0,0.0
Male,50,Non-White,0,9,0,0,11,0.0,0.0,3,0,1,Low,6,2.0,0.0
Male,34,Non-White,0,7,1,0,10,0.0,0.0,3,1,3,Low,2,2.0,1.0
Male,41,Non-White,0,2,0,0,1,0.0,1.0,3,0,1,Low,1,1.0,0.0
Male,23,Non-White,0,2,0,0,0,0.0,0.0,3,0,1,Low,4,1.0,0.0
Female,22,White,0,5,0,0,0,-1.0,1.0,2,0,1,Low,6,2.0,0.0
Male,36,Non-White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,1,7.0,0.0
Male,30,White,0,5,0,0,22,-1.0,1.0,3,1,2,Low,6,3.0,58.0
Male,21,Non-White,0,10,0,0,0,-1.0,1.0,3,1,2,Low,9,1.0,1.0
Female,53,White,0,1,0,0,0,0.0,0.0,3,0,1,Low,1,1.0,0.0
Male,39,Non-White,0,2,0,0,3,-1.0,1.0,3,0,1,Low,3,1.0,0.0
Female,25,Non-White,0,9,0,0,2,-1.0,1.0,3,0,1,Low,9,34.0,0.0
Male,24,White,0,3,0,0,1,-37.0,37.0,3,0,1,Low,3,1.0,0.0
Male,25,Non-White,0,5,1,1,7,-1.0,1.0,2,1,2,Low,5,1.0,1.0
Female,25,Non-White,0,9,0,0,1,0.0,1599.0,2,0,1,Low,5,1.0,0.0
Male,27,Non-White,0,5,0,0,1,-1.0,1.0,3,0,1,Low,4,177.0,0.0
Male,71,Non-White,0,1,0,0,8,-1.0,1.0,3,0,1,Low,2,24.0,0.0
Male,39,Non-White,0,9,4,0,10,-1.0,2994.0,2,0,1,Low,3,40.0,0.0
Female,37,Non-White,0,5,0,0,0,0.0,0.0,3,0,1,Low,3,37.0,0.0
Male,20,Non-White,0,5,0,2,0,0.0,1.0,3,1,2,Low,8,7.0,1.0
Female,29,Non-White,0,5,0,0,3,-1.0,1.0,3,0,1,Low,4,1.0,0.0
Male,22,Non-White,0,5,0,0,2,-1.0,1.0,3,1,2,Low,5,1.0,1.0
Male,26,Non-White,0,7,0,0,4,-1.0,1.0,3,1,2,Low,7,83.0,15.0
Male,22,Non-White,0,3,0,0,1,-1.0,1.0,3,0,1,Low,5,391.0,0.0
Female,24,Non-White,0,3,0,0,0,-1.0,1.0,3,0,1,Low,3,1.0,0.0
Female,47,Non-White,0,10,0,0,19,-1.0,1.0,3,1,3,Low,2,30.0,35.0
Male,21,Non-White,0,4,0,0,1,-1.0,1.0,3,1,2,Low,6,1.0,0.0
Female,23,Non-White,0,10,0,0,0,-1.0,1.0,2,0,1,Low,10,1.0,0.0
Female,20,White,0,8,0,0,1,-1.0,1.0,3,1,2,Low,6,17.0,0.0
Male,53,Non-White,0,9,0,0,13,-1.0,1.0,3,0,1,Low,4,34.0,0.0
Female,23,Non-White,0,2,0,0,0,-1.0,1.0,3,0,1,Low,3,1.0,0.0
Male,27,Non-White,0,7,0,0,3,0.0,0.0,2,0,1,Low,4,1.0,0.0
Male,55,White,0,2,0,0,18,-47.0,47.0,3,1,3,Low,1,37.0,87.0
Female,53,Non-White,0,1,0,0,0,0.0,0.0,3,0,1,Low,1,1.0,0.0
Female,23,Non-White,0,7,0,0,0,-1.0,1.0,3,1,2,Low,7,1.0,0.0
Male,55,Non-White,0,8,0,0,19,-1.0,1.0,3,0,1,Low,2,4.0,0.0
Male,26,Non-White,0,7,0,1,5,-1.0,1.0,3,1,3,Low,3,22.0,0.0
Male,25,Non-White,0,6,0,0,6,-1.0,1.0,3,1,3,Low,5,6.0,29.0
Male,39,Non-White,0,6,0,0,2,-44.0,44.0,3,0,1,Low,2,42.0,0.0
Male,23,Non-White,0,4,0,0,2,-1.0,1.0,2,0,1,Low,6,1.0,0.0
Male,27,Non-White,0,9,0,0,4,0.0,0.0,3,1,3,High,7,1.0,0.0
Male,26,Non-White,0,3,0,0,2,-106.0,107.0,2,0,1,Low,4,1.0,0.0
Female,32,White,0,4,0,0,0,-2.0,2.0,2,0,1,Low,4,1.0,0.0
Male,29,Non-White,0,4,0,0,1,-1.0,1.0,2,0,1,Low,3,3.0,0.0
Male,27,Non-White,0,2,0,0,1,-1.0,1.0,3,1,2,Low,4,1.0,1.0
Male,28,Non-White,0,2,0,0,0,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Male,31,Non-White,0,2,0,0,0,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,41,Non-White,0,6,0,0,8,-29.0,29.0,3,1,2,Low,3,1.0,0.0
Male,25,White,0,3,0,0,1,-1.0,1.0,3,0,1,Low,3,2.0,0.0
Male,30,White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,25,White,0,2,0,0,0,-2.0,3.0,2,0,1,Low,3,1.0,0.0
Male,47,White,0,1,0,0,0,-1.0,2.0,2,0,1,Low,1,-1.0,0.0
Male,26,White,0,3,0,0,0,-1.0,1.0,3,0,1,Low,3,1.0,0.0
Male,37,Non-White,0,2,0,0,4,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Female,35,Non-White,0,5,0,0,4,-1.0,1.0,3,0,1,Low,3,2.0,0.0
Female,66,White,0,4,0,0,7,-1.0,1614.0,3,0,1,Low,1,17.0,0.0
Male,48,White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,26,White,0,2,0,1,3,-5.0,38.0,3,0,1,Low,2,4.0,0.0
Male,24,White,0,4,0,0,1,0.0,1.0,2,1,2,Low,6,1.0,0.0
Male,21,White,0,9,2,1,2,-1.0,1.0,3,1,3,High,8,5.0,0.0
Male,23,Non-White,0,4,0,0,0,0.0,0.0,3,0,1,Low,5,548.0,0.0
Male,22,White,0,4,0,0,0,0.0,1.0,3,1,2,Low,6,2.0,139.0
Male,57,Non-White,0,6,0,0,11,-1.0,1.0,3,0,1,Low,5,140.0,0.0
Male,48,White,0,7,0,0,0,-1.0,1.0,3,0,1,Low,4,11.0,0.0
Male,36,Non-White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,1,5.0,0.0
Female,37,Non-White,0,7,0,0,3,-1.0,1.0,3,0,1,Low,4,28.0,0.0
Male,31,White,0,1,0,0,0,0.0,0.0,2,0,1,Low,2,5.0,0.0
Male,22,Non-White,0,9,1,0,1,-1.0,1.0,3,1,3,Low,9,4.0,0.0
Male,31,White,0,3,0,0,2,0.0,0.0,2,0,1,Low,2,1.0,0.0
Male,24,Non-White,0,5,0,0,0,-1.0,1.0,3,1,2,Low,4,1.0,7.0
Male,32,Non-White,0,2,0,0,7,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,32,Non-White,0,9,0,1,22,0.0,0.0,3,1,2,High,10,1.0,58.0
Female,23,Non-White,0,4,0,0,0,-1.0,1.0,2,0,1,Low,5,1.0,0.0
Male,63,Non-White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,30,Non-White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Male,26,White,0,5,0,0,2,-38.0,38.0,3,1,3,High,4,27.0,0.0
Male,20,White,0,4,0,2,0,-1.0,1.0,3,0,1,Low,7,1.0,0.0
Male,33,Non-White,0,7,0,0,2,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Male,24,White,0,2,0,0,1,-1.0,1.0,2,0,1,Low,3,1.0,0.0
Female,24,Non-White,0,5,0,0,1,0.0,0.0,2,1,2,High,4,1.0,1.0
Female,36,Non-White,0,2,0,0,1,-1.0,1.0,2,0,1,Low,2,1.0,0.0
Male,26,Non-White,0,8,0,0,3,-1.0,1.0,3,0,1,Low,5,355.0,0.0
Male,83,Non-White,0,1,0,0,0,0.0,1.0,2,0,1,Low,1,1.0,0.0
Male,28,White,0,6,0,0,2,0.0,1.0,3,0,1,Low,6,1.0,0.0
Male,36,Non-White,0,2,0,0,3,-1.0,1.0,3,1,2,Low,1,1.0,0.0
Female,30,Non-White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Female,33,Non-White,0,2,0,0,0,-1.0,1.0,2,0,1,Low,2,1.0,0.0
Male,39,Non-White,0,3,0,0,0,0.0,0.0,3,0,1,Low,2,1.0,0.0
Male,29,Non-White,0,7,0,0,3,0.0,0.0,2,0,1,Low,5,1.0,0.0
Male,30,Non-White,0,10,0,0,17,-4.0,4.0,3,1,3,Low,5,4.0,132.0
Female,19,White,1,6,1,0,1,140.0,100.0,2,1,2,High,8,1.0,1.0
